script,classificacao,tamanho_kb
auditar_md_vs_html.py,AUDITORIA,2.0
auditar_pdf_vs_md.py,AUDITORIA,3.4
auditar_questoes.py,AUDITORIA,2.1
auditoria_final_simulados_v2.py,AUDITORIA,21.5
auditoria_refinada_pdf_md.py,AUDITORIA,4.8
classificar_md.py,OUTRO,1.4
converter_pdf_md.py,EXTRACAO_PDF_MD,8.8
copiar_questoes_validadas.py,OUTRO,1.3
extrair_pdf_bruto_criticos.py,EXTRACAO_PDF_MD,0.7
gerar_cadernos_premium.py,GERADOR_HTML,20.1
gerar_html_simulados.py,GERADOR_HTML,16.8
gerar_html_simulados_backup.py,REVISAR/ARQUIVAR,12.0
gerar_html_simulados_backup_final.py,REVISAR/ARQUIVAR,17.8
gerar_questoes_extras.py,GERADOR_QUESTOES,2.7
gerar_questoes_ok.py,GERADOR_QUESTOES,5.5
relatorio_md.py,OUTRO,1.6
