categoria,item,status_auditoria,fonte,esperado_auditoria,itens_extraidos,questoes_geradas,status_final,observacao,arquivo_saida_md,arquivo_saida_json
INFORMATIVO,Info 1184 STF,FALTA_GERAR_QUESTOES,/Users/letrpires/Documents/SIMULADOS/projeto - cópia/pdfs/Info 1184 STF.pdf,,8,8,OK_VALIDADO,,/Users/letrpires/Documents/SIMULADOS/projeto - cópia/questoes_geradas_api_revisar/informativo_info_1184_stf.md,/Users/letrpires/Documents/SIMULADOS/projeto - cópia/questoes_geradas_api_revisar/informativo_info_1184_stf.json
INFORMATIVO,Info 24 STJ,FALTA_GERAR_QUESTOES,/Users/letrpires/Documents/SIMULADOS/projeto - cópia/pdfs/Info 24 STJ.pdf,,6,6,OK_VALIDADO,,/Users/letrpires/Documents/SIMULADOS/projeto - cópia/questoes_geradas_api_revisar/informativo_info_24_stj.md,/Users/letrpires/Documents/SIMULADOS/projeto - cópia/questoes_geradas_api_revisar/informativo_info_24_stj.json
INFORMATIVO,Info 28 STJ,FALTA_GERAR_QUESTOES,/Users/letrpires/Documents/SIMULADOS/projeto - cópia/pdfs/Info 28 STJ.pdf,,14,14,OK_VALIDADO,,/Users/letrpires/Documents/SIMULADOS/projeto - cópia/questoes_geradas_api_revisar/informativo_info_28_stj.md,/Users/letrpires/Documents/SIMULADOS/projeto - cópia/questoes_geradas_api_revisar/informativo_info_28_stj.json
INFORMATIVO,Info 29 STJ,FALTA_GERAR_QUESTOES,/Users/letrpires/Documents/SIMULADOS/projeto - cópia/pdfs/Info 29 STJ.pdf,,15,15,OK_VALIDADO,,/Users/letrpires/Documents/SIMULADOS/projeto - cópia/questoes_geradas_api_revisar/informativo_info_29_stj.md,/Users/letrpires/Documents/SIMULADOS/projeto - cópia/questoes_geradas_api_revisar/informativo_info_29_stj.json
INFORMATIVO,Info 30 STJ,FALTA_GERAR_QUESTOES,/Users/letrpires/Documents/SIMULADOS/projeto - cópia/pdfs/Info 30 STJ.pdf,,13,13,OK_VALIDADO,,/Users/letrpires/Documents/SIMULADOS/projeto - cópia/questoes_geradas_api_revisar/informativo_info_30_stj.md,/Users/letrpires/Documents/SIMULADOS/projeto - cópia/questoes_geradas_api_revisar/informativo_info_30_stj.json
INFORMATIVO,Info 837 STJ,FALTA_GERAR_QUESTOES,/Users/letrpires/Documents/SIMULADOS/projeto - cópia/pdfs/Info 837 STJ.pdf,,11,11,OK_VALIDADO,,/Users/letrpires/Documents/SIMULADOS/projeto - cópia/questoes_geradas_api_revisar/informativo_info_837_stj.md,/Users/letrpires/Documents/SIMULADOS/projeto - cópia/questoes_geradas_api_revisar/informativo_info_837_stj.json
INFORMATIVO,Info 858 STJ,FALTA_GERAR_QUESTOES,/Users/letrpires/Documents/SIMULADOS/projeto - cópia/pdfs/Info 858 STJ.pdf,,9,9,OK_VALIDADO,,/Users/letrpires/Documents/SIMULADOS/projeto - cópia/questoes_geradas_api_revisar/informativo_info_858_stj.md,/Users/letrpires/Documents/SIMULADOS/projeto - cópia/questoes_geradas_api_revisar/informativo_info_858_stj.json
RG,RG - Administrativo Extracao,SEM_QUESTOES_MD,/Users/letrpires/Documents/SIMULADOS/projeto - cópia/pdfs/RG Administrativo.pdf,,373,373,OK_VALIDADO,,/Users/letrpires/Documents/SIMULADOS/projeto - cópia/questoes_geradas_api_revisar/rg_rg_administrativo_extracao.md,/Users/letrpires/Documents/SIMULADOS/projeto - cópia/questoes_geradas_api_revisar/rg_rg_administrativo_extracao.json
RG,RG - Ambiental Extracao,SEM_QUESTOES_MD,/Users/letrpires/Documents/SIMULADOS/projeto - cópia/pdfs/RG Ambiental.pdf,,4,4,OK_VALIDADO,,/Users/letrpires/Documents/SIMULADOS/projeto - cópia/questoes_geradas_api_revisar/rg_rg_ambiental_extracao.md,/Users/letrpires/Documents/SIMULADOS/projeto - cópia/questoes_geradas_api_revisar/rg_rg_ambiental_extracao.json
RG,RG - Civil Extracao,SEM_QUESTOES_MD,/Users/letrpires/Documents/SIMULADOS/projeto - cópia/pdfs/RG Civil.pdf,,62,62,OK_VALIDADO,,/Users/letrpires/Documents/SIMULADOS/projeto - cópia/questoes_geradas_api_revisar/rg_rg_civil_extracao.md,/Users/letrpires/Documents/SIMULADOS/projeto - cópia/questoes_geradas_api_revisar/rg_rg_civil_extracao.json
