tema,status,observacao,tese
29,OK,,A simples propositura da ação de revisão de contrato não inibe a caracterização da mora do autor.
30,OK,,"Nos contratos bancários, não-regidos por legislação específica, os juros moratórios poderão ser convencionados até o limite de 1% ao mês."
44,OK,,"A prescrição incidente nas ações que visem à subscrição complementar de ações rege-se pelo prazo vintenário ou decenário, conforme as regras do anterior ou do atual Código Civil."
45,OK,,"Quanto aos dividendos, só prescreveria o direito a partir do reconhecimento do direito à diferença das ações."
46,OK,,"Nos contratos de participação financeira para a aquisição de linha telefônica, o Valor Patrimonial da Ação (VPA) é apurado com base no balancete do mês da integralização."
48,OK,,"Nos contratos celebrados no âmbito do Sistema Financeiro da Habitação, é vedada a capitalização de juros em qualquer periodicidade, mas não cabe ao STJ, todavia, aferir se há capitalização de juros com a utilização da Tabela Price, por força das Súmulas 5 e 7."
49,OK,,"O art. 6º, e, da Lei n. 4.380/1964 não estabelece limitação aos juros remuneratórios nos contratos vinculados ao SFH."
51,EXCLUIR,"Excluído por regra: aguardando julgamento, irrelevante ou instrução de tema correlato.",Aguardando julgamento de mérito
53,OK,,"No âmbito do Sistema Financeiro da Habitação, a partir da Lei n. 8.177/1991, é permitida a utilização da Taxa Referencial (TR) como índice de correção monetária do saldo devedor, que também será cabível ainda que o contrato tenha sido firmado antes da Lei n. 8.177/1991, mas desde que haja previsão contratual de correção monetária pela taxa básica de remuneração dos depósitos em poupança, sem nenhum outro índice específico."
54,OK,,O mutuário do SFH não pode ser compelido a contratar o seguro habitacional obrigatório com a instituição financeira mutuante ou com a seguradora por ela indicada.
57,OK,,A ação de cobrança de diferenças de valores de complementação de aposentadoria prescreve em cinco anos contados da data do pagamento.
58,EXCLUIR,Duplicado conceitual da tese do Tema 57.,A ação de cobrança de diferenças de valores de complementação de aposentadoria prescreve em cinco anos contados da data do pagamento.
192,OK,,"A pensão alimentícia incide sobre o décimo terceiro salário e o terço constitucional de férias, também conhecidos, respectivamente, por gratificação natalina e gratificação de férias."
233,OK,,"Nos contratos de mútuo em que a disponibilização do capital é imediata, o montante dos juros remuneratórios praticados deve ser consignado no respectivo instrumento. Ausente a fixação da taxa no contrato o juiz deve limitar os juros à média de mercado nas operações da espécie, divulgada pelo Bacen, salvo se a taxa cobrada for mais vantajosa para o cliente."
234,OK,,"Nos contratos de mútuo em que a disponibilização do capital é imediata, o montante dos juros remuneratórios praticados deve ser consignado no respectivo instrumento. Ausente a fixação da taxa no contrato o juiz deve limitar os juros à média de mercado nas operações da espécie, divulgada pelo Bacen, salvo se a taxa cobrada for mais vantajosa para o cliente. Em qualquer hipótese, é possível a correção para a taxa média se for verificada abusividade nos juros remuneratóriospraticados"
246,OK,,"É permitida a capitalização de juros com periodicidade inferior a um ano em contratos celebrados após 31.3.2000, data da publicação da Medida Provisória n. 1.963-17/2000 (em vigor como MP 2.170-36/2001), desde que expressamente pactuada."
247,OK,,A capitalização dos juros em periodicidade inferior à anual deve vir pactuada de forma expressa e clara. A previsão no contrato bancário de taxa de juros anual superior ao duodécuplo da mensal é suficiente para permitir a cobrança da taxa efetiva anual contratada.
300,EXCLUIR,"Excluído por regra: aguardando julgamento, irrelevante ou instrução de tema correlato.",Observar temas referentes a expurgos inflacionários no STF
301,EXCLUIR,"Excluído por regra: aguardando julgamento, irrelevante ou instrução de tema correlato.",Observar temas referentes a expurgos inflacionários no STF
302,EXCLUIR,"Excluído por regra: aguardando julgamento, irrelevante ou instrução de tema correlato.",Observar temas referentes a expurgos inflacionários no STF
303,EXCLUIR,"Excluído por regra: aguardando julgamento, irrelevante ou instrução de tema correlato.",Observar temas referentes a expurgos inflacionários no STF
304,EXCLUIR,"Excluído por regra: aguardando julgamento, irrelevante ou instrução de tema correlato.",Observar temas referentes a expurgos inflacionários no STF
310,OK,,"Prescreve em 20 (vinte) anos, na vigência do Código Civil de 1916, e em 5 (cinco) anos, na vigência do Código Civil de 2002, a pretensão de cobrança dos valores aportados para a construção de rede de eletrificação rural, posteriormente incorporada ao patrimônio da CEEE/RGE, respeitada a regra de transição prevista no art. 2.028 do Código Civil de 2002."
311,EXCLUIR,Duplicado conceitual da tese do Tema 310.,"Prescreve em 20 (vinte) anos, na vigência do Código Civil de 1916, e em 5 (cinco) anos, na vigência do Código Civil de 2002, a pretensão de cobrança dos valores aportados para a construção de rede de eletrificação rural, posteriormente incorporada ao patrimônio da CEEE/RGE, respeitada a regra de transição prevista no art. 2.028 do Código Civil de 2002."
312,OK,,"É devida a restituição de valores vertidos por consorciado desistente ao grupo de consórcio, mas não de imediato, e sim em até trinta dias a contar do prazo previsto contratualmente para o encerramento do plano."
369,OK,,A correção monetária dos depósitos judiciais deve incluir os expurgos inflacionários.
440,OK,,"Os juros moratórios incidem a partir da data do fato, no tocante aos valores devidos a título de dano material e moral."
442,OK,,"Nos contratos vinculados ao SFH, a atualização do saldo devedor antecede sua amortização pelo pagamento da prestação. Súmula 450/STJ"
463,OK,,"Só responde por danos materiais e morais o endossatário que recebe título de crédito por endosso- mandato e o leva a protesto se extrapola os poderes de mandatário ou em razão de ato culposo próprio, como no caso de apontamento depois da ciência acerca do pagamento anterior ou da falta de higidez da cártula"
464,EXCLUIR,Duplicado conceitual da tese do Tema 463.,"Só responde por danos materiais e morais o endossatário que recebe título de crédito por endosso- mandato e o leva a protesto se extrapola os poderes de mandatário ou em razão de ato culposo próprio, como no caso de apontamento depois da ciência acerca do pagamento anterior ou da falta de higidez da cártula."
465,OK,,"Responde pelos danos decorrentes de protesto indevido o endossatário que recebe por endosso translativo título de crédito contendo vício formal extrínseco ou intrínseco, ficando ressalvado seu direito de regresso contra os endossantes e avalistas."
466,OK,,As instituições financeiras respondem objetivamente pelos danos gerados por fortuito interno relativo a fraudes e delitos praticados por terceiros no âmbito de operações bancárias.
469,OK,,"Em ação de reparação de danos movida em face do segurado, a Seguradora denunciada pode ser condenada direta e solidariamente junto com este a pagar a indenização devida à vítima, nos limites contratados na apólice."
491,OK,,"Os valores resultantes de condenações proferidas contra a Fazenda Pública após a entrada em vigor da Lei 11.960/09 devem observar os critérios de atualização (correção monetária e juros) nela disciplinados, enquanto vigorarem. Por outro lado, no período anterior, tais acessórios deverão seguir os parâmetros definidos pela legislação então vigente."
492,EXCLUIR,Duplicado conceitual da tese do Tema 491.,"Os valores resultantes de condenações proferidas contra a Fazenda Pública após a entrada em vigor da Lei 11.960/09 devem observar os critérios de atualização (correção monetária e juros) nela disciplinados, enquanto vigorarem. Por outro lado, no período anterior, tais acessórios deverão seguir os parâmetros definidos pela legislação então vigente."
