tema,status,observacao,tese
5,OK,,"I - Ao editar a Lei 8.880/1994, a União legislou sobre o sistema monetário e exerceu a sua competência prevista no art. 22, VI, da Constituição de 1988. Assim, qualquer lei, seja ela estadual ou municipal, que discipline a conversão da moeda Cruzeiro Real em URV no que tange à remuneração de seus servidores de uma forma incompatível com a prevista na Lei nº 8.880/94 será inconstitucional, mormente quando acarretar redução de vencimentos; II - O término da incorporação, na remuneração do servidor, do percentual devido em razão da ilegalidade na conversão de Cruzeiros Reais em URV deve ocorrer no momento em que a carreira do servidor passa por uma restruturação remuneratória."
6,PULAR,Tese marcada como pendente/irrelevante/manual/aguardando julgamento.,[Tese Saúde. Importante. Consultar manualmente]
15,OK,,Não viola a Constituição o estabelecimento de remuneração inferior ao salário mínimo para as praças prestadoras de serviço militar inicial.
19,OK,,"O não encaminhamento de projeto de lei de revisão anual dos vencimentos dos servidores públicos, previsto no inciso X do art. 37 da CF/1988, não gera direito subjetivo a indenização. Deve o Poder Executivo, no entanto, se pronunciar, de forma fundamentada, acerca das razões pelas quais não propôs a revisão."
22,OK,,"Sem previsão constitucionalmente adequada e instituída por lei, não é legítima a cláusula de edital de concurso público que restrinja a participação de candidato pelo simples fato de responder a inquérito ou ação penal."
23,OK,,"A questão da possibilidade de equiparação dos proventos dos Procuradores de Autarquia e dos Procuradores de Estado para incidência do teto remuneratório da Emenda Constitucional n. 41/2003 não tem repercussão geral, pois ausente relevância econômica, política, social ou jurídica que transcenda ao interesse daspartes."
24,OK,,"I - O art. 37, XIV, da Constituição Federal, na redação dada pela Emenda Constitucional 19/98, é autoaplicável; II - Não há direito adquirido a regime jurídico, notadamente à forma de composição da remuneração de servidores públicos, observada a garantia da irredutibilidade de vencimentos."
25,OK,,"Salvo nos casos previstos na Constituição, o salário mínimo não pode ser usado como indexador de base de cálculo de vantagem de servidor público ou de empregado, nem ser substituído por decisão judicial."
26,OK,,O inciso I do artigo 1º da Lei complementar 51/1985 foi recepcionado pela Constituição Federal de 1988.
29,OK,,Leis que tratam dos casos de vedação a nepotismo não são de iniciativa exclusiva do Chefe do Poder Executivo.
30,OK,,"I - O direito individual às férias é adquirido após o período de doze meses trabalhados, sendo devido o pagamento do terço constitucional independente do exercício desse direito; II - A ausência de previsão legal não pode restringir o direito ao pagamento do terço constitucional aos servidores exonerados de cargos comissionados que não usufruíram férias."
41,OK,,"I - Não há direito adquirido a regime jurídico, desde que respeitado o princípio constitucional da irredutibilidade de vencimentos; II - A Lei complementar 203/2001, do Estado do Rio Grande do Norte, no ponto que alterou a forma de cálculo de gratificações e, consequentemente, a composição da remuneração de servidores públicos, não ofende a Constituição da República de 1988, por dar cumprimento ao princípio da irredutibilidade da remuneração."
47,OK,,"A competência técnica do Tribunal de Contas do Estado, ao negar registro de admissão de pessoal, não se subordina à revisão pelo Poder Legislativo respectivo."
54,OK,,"I - A Gratificação de Desempenho de Atividade de Ciência e Tecnologia – GDACT, instituída pela Medida Provisória 2.048/2000, apesar de originalmente concebida como gratificação pro labore faciendo, teve caráter geral e foi estendida aos inativos até a sua regulamentação pelo Decreto 3.762/2001, quando passou a constituir gratificação paga em razão do efetivo exercício de cargo; II - É constitucional o art. 60-A acrescentado pela Lei 10.769/2003 à MP 2.229- 43/2001, dado que não implicou redução indevida, visto que, após o Decreto 3.762/2001, deixou de existir o direito dos inativos à percepção da GDACT nas mesmas condições em que concedida aos servidores em atividade."
57,OK,,"É constitucional a previsão legal que assegure, na hipótese de transferência ex officio de servidor, a matrícula em instituição pública, se inexistir instituição congênere à de origem"
60,OK,,"É ilícita a prisão civil de depositário infiel, qualquer que seja a modalidade de depósito."
66,OK,,"A vedação ao nepotismo não exige a edição de lei formal para coibir a prática, dado que essa proibição decorre diretamente dos princípios contidos no art. 37, caput, da Constituição Federal."
67,OK,,"A Gratificação de Desempenho de Atividade de Seguridade Social e do Trabalho -GDASST deve ser estendida aos inativos nas mesmas condições em que concedida aos servidores em atividade, ou seja, no valor de 60 (sessenta) pontos, a partir do advento da Medida Provisória 198/2004, convertida na Lei 10.971/2004, que alterou a sua base de cálculo. Isso porque, embora de natureza pro labore faciendo, a falta de regulamentação das avaliações de desempenho transmudou a GDASST em uma gratificação de natureza genérica, extensível aos servidores inativos."
73,OK,,"A questão de o servidor público ter direito ao pagamento de diferenças pecuniárias em virtude de ter exercido trabalho em desvio de função não tem repercussão geral, pois ausente relevância econômica, política, social ou jurídicaque transcenda ao interesse daspartes."
119,OK,,"A questão da possibilidade de os militares acumularem dois cargos públicos na área de saúde, um de natureza militar e outro municipal, não tem repercussão geral, pois ausente relevância econômica, política, social ou jurídicaque transcenda ao interesse daspartes."
121,OK,,"Não foi recepcionada pela Constituição da República de 1988 a expressão “nos regulamentos da Marinha, do Exército e da Aeronáutica” do art. 10 da Lei 6.880/1980, dado que apenas lei pode definir os requisitos para ingresso nas Forças Armadas, notadamente o requisito de idade, nos termos do art. 142, § 3º, X, da Constituição de 1988. Descabe, portanto, a regulamentação por outra espécie normativa, ainda que por delegação lega"
122,OK,,"A questão de o servidor, cujo regime jurídico fora alterado de celetista para o estatutário, ter direito à contagem em dobro do período de licença especial não usufruída como tempo de serviço público não tem repercussão geral, pois ausente relevância econômica, política, social ou jurídica que transcenda ao interesse das partes."
138,OK,,"Ao Estado é facultada a revogação de atos que repute ilegalmente praticados; porém, se de tais atos já tiverem decorrido efeitos concretos, seu desfazimento deve ser precedido de regular processo administrativo."
139,OK,,"Os servidores que ingressaram no serviço público antes da EC 41/2003, mas que se aposentaram após a referida emenda, possuem direito à paridade remuneratória e à integralidade no cálculo de seus proventos, desde que observadas as regras de transição especificadas nos arts. 2º e 3º da EC 47/2005."
141,OK,,O cálculo de gratificações e outras vantagens do servidor público não incide sobre o abono utilizado para se atingir o salário mínimo.
142,OK,,"Os artigos 7º, IV, e 39, § 3º (redação da EC 19/1998), da Constituição referem-se ao total da remuneração percebida pelo servidor público."
145,OK,,"O município é competente para legislar sobre o meio ambiente com a União e o Estado, no limite do seu interesse local e desde que tal regramento seja harmônico com a disciplina estabelecida pelos demais entes federados (art. 24, VI, c/c 30, I e II, da Constituição Federal)."
153,OK,,A fixação da GDATA e da GDASST em relação aos servidores inativos deve obedecer aos critérios a que estão submetidos os servidores em atividade de acordo com a sucessão de leis de regência.
156,PULAR,Tese marcada como pendente/irrelevante/manual/aguardando julgamento.,[irrelevante]
160,OK,,"É constitucional a cobrança de contribuições sobre os proventos dos militares inativos, aqui compreendidos os Policiais Militares e o Corpo de Bombeiros dos Estados e do Distrito Federal e os integrantes das Forças Armadas, entre o período de vigência da Emenda Constitucional 20/98 e da Emenda Constitucional 41/03, por serem titulares de regimes jurídicos distintos dos servidores públicos civis e porque a eles não se estende a interpretação integrativa dos textos dos artigos 40, §§ 8º e 12, e artigo 195, II,da Constituição da República."
161,OK,,O candidato aprovado em concurso público dentro do número de vagas previsto no edital possui direito subjetivo à nomeação.
162,OK,,"É inconstitucional a percepção cumulativa de duas pensões estatutárias pela morte de servidor aposentado que reingressara no serviço público, por meio de concurso, antes da edição da EC 20/1998 e falecera após o seu advento."
191,OK,,"É constitucional o art. 19-A da Lei 8.036/1990, que dispõe ser devido o depósito do Fundo de Garantia do Tempo de Serviço - FGTS na conta de trabalhador cujo contrato com a Administração Pública seja declarado nulo por ausência de prévia aprovação em concurso público, desde que mantido o direito ao salário."
203,OK,,"É constitucional o uso de ações afirmativas, tal como a utilização do sistema de reserva de vagas (""cotas"") por critério étnico-racial, na seleção para ingresso no ensino superior público."
220,OK,,"É lícito ao Judiciário impor à Administração Pública obrigação de fazer, consistente na promoção de medidas ou na execução de obras emergenciais em estabelecimentos prisionais para dar efetividade ao postulado da dignidade da pessoa humana e assegurar aos detentos o respeito à sua integridade física e moral, nos termos do que preceitua o art. 5º, XLIX, da Constituição Federal, não sendo oponível à decisão o argumento da reserva do possível nem o princípio da separação dos poderes."
221,OK,,"No exercício da autonomia legislativa municipal, não pode o Município, ao disciplinar o regime jurídico de seus servidores, restringir o direito de férias a servidor em licença saúde de maneira a inviabilizar o gozo de férias anuais previsto no art. 7º, XVII da Constituição Federal de 1988."
223,OK,,"É inconstitucional, por afrontar a iniciativa privativa do Chefe do Poder Executivo, a normatização de direitos dos servidores públicos em lei orgânica do Município."
225,OK,,"I - O art. 6º da Lei Complementar 105/01 não ofende o direito ao sigilo bancário, pois realiza a igualdade em relação aos cidadãos, por meio do princípio da capacidade contributiva, bem como estabelece requisitos objetivos e o translado do dever de sigilo da esfera bancária para a fiscal; II - A Lei 10.174/01 não atrai a aplicação do princípio da irretroatividade das leis tributárias, tendo em vista o caráter instrumental da norma, nos termos do artigo 144, § 1º, do CTN."
253,OK,,"Sociedades de economia mista que desenvolvem atividade econômica em regime concorrencial não se beneficiam do regime de precatórios, previsto no art. 100 da Constituição da República."
256,OK,,"Afronta o art. 7º, inciso IV, da Constituição Federal a adoção do salário mínimo como base de cálculo para a fixação de piso salarial."
257,OK,,"Computam-se, para efeito de observância do teto remuneratório do art. 37, XI, da Constituição da República, também os valores percebidos anteriormente à vigência da Emenda Constitucional 41/2003 a título de vantagens pessoais pelo servidor público, dispensada a restituição dos valores recebidos em excesso e de boa-fé até o dia 18 de novembro de 2015."
258,OK,,"Compete à Justiça Federal processar e julgar ações em que a Ordem dos Advogados do Brasil, quer mediante o Conselho Federal, quer seccional, figure na relação processual."
261,OK,,"É inconstitucional a cobrança de taxa, espécie tributária, pelo uso de espaços públicos dos municípios por concessionárias prestadoras do serviço público de fornecimento de energia elétrica."
272,OK,,"Compete aos Municípios legislar sobre assuntos de interesse local, notadamente sobre a definição do tempo máximo de espera de clientes em filas de instituições bancárias."
282,OK,,"A eficácia do inciso XI do artigo 37 da Constituição Federal, decorrente da redação da Emenda Constitucional nº 19/1998, condiciona-se à fixação do subsídio, mediante lei de iniciativa conjunta do Presidente da República, do Presidente do Supremo, do Presidente da Câmara e do Presidente do Senado, persistindo a vigência do texto primitivo da Carta, no que definido o teto por Poder, consideradas as esferas federal e estadual."
289,PULAR,Tese marcada como pendente/irrelevante/manual/aguardando julgamento.,Aguardando julgamento de mérito
293,OK,,"O servidor possui direito adquirido à contagem especial do tempo de serviço prestado sob condições insalubres, referente ao período celetista anterior à instituição do Regime Jurídico Único**. Anotações NUGEP (STF)**: - Redação da tese elaborada conforme procedimento previsto no item 2 da Ata da 12ª Sessão Administrativa do STF, realizada em 09/12/2015 e registrada no SEI 002405/2024."
309,OK,,"a) O dolo é necessário para a configuração de qualquer ato de improbidade administrativa (art. 37, § 4º, da Constituição Federal), de modo que é inconstitucional a modalidade culposa de ato de improbidade administrativa prevista nos arts. 5º e 10 da Lei nº 8.429/92, em sua redação originária. b) São constitucionais os arts. 13, V, e 25, II, da Lei nº 8.666/1993, desde de que interpretados no sentido de que a contratação direta de serviços advocatícios pela Administração Pública, por inexigibilidade de licitação, além dos critérios já previstos expressamente (necessidade de procedimento administrativo formal; notória especialização profissional; natureza singular do serviço), deve observar: (i) inadequação da prestação do serviço pelos integrantes do Poder Público; e (ii) cobrança de preço compatível com a responsabilidade profissional exigida pelo caso, observado, também, o valor médio cobrado pelo escritório de advocacia contratado em situações similares anteriores."
315,OK,,"Não cabe, ao Poder Judiciário, que não tem a função legislativa, aumentar vencimentos de servidores públicos sob o fundamento de isonomia."
335,OK,,"Inexiste direito dos candidatos em concurso público à prova de segunda chamada nos teste de aptidão física, salvo contrária disposição editalícia, em razão de circunstâncias pessoais, ainda que de caráter fisiológico ou de força maior, mantida a validade das provas de segunda chamada realizadas até 15/5/2013,em nome da segurançajurídica."
338,OK,,"A exigência do exame psicotécnico em concurso depende de previsão em lei e no edital, e deve seguir critérios objetivos."
339,OK,,"O art. 93, IX, da Constituição Federal exige que o acórdão ou decisão sejam fundamentados, ainda que sucintamente, sem determinar, contudo, o exame pormenorizado de cada uma das alegações ou provas."
348,OK,,Os municípios com mais de vinte mil habitantes e o Distrito Federal podem legislar sobre programas e projetos específicos de ordenamento do espaço urbano por meio de leis que sejam compatíveis com as diretrizes fixadas no plano diretor.
349,OK,,É constitucional o § 1º do artigo 1.361 do Código Civil no que revela a possibilidade de ter-se como constituída a propriedade fiduciária de veículos com o registro do contrato na repartição competente para o licenciamento do bem.
350,PULAR,Tese marcada como pendente/irrelevante/manual/aguardando julgamento.,[Tese muito grande. Buscar manualmente]
351,OK,,"A Gratificação de Desempenho do Plano Geral de Cargos do Poder Executivo - GDPGPE, prevista na Lei nº 11.357/2006, estende-se aos inativos e pensionistas, no patamar de oitenta pontos, até o implemento da avaliação dos servidores em atividade."
359,OK,,"Ocorrida a morte do instituidor da pensão em momento posterior ao da Emenda Constitucional nº 19/1998, o teto constitucional previsto no inciso XI do artigo 37 da Constituição Federal incide sobre o somatório de remuneração ou provento e pensão percebida por servidor"
362,OK,,"Nos termos do artigo 37, § 6º, da Constituição Federal, não se caracteriza a responsabilidade civil objetiva do Estado por danos decorrentes de crime praticado por pessoa foragida do sistema prisional, quando não demonstrado o nexo causal direto entre o momento da fuga e a conduta praticada."
