info,tribunal,pdfs_encontrados,arquivos_md,arquivos_html,julgados_estimados_pdf,questoes_md,questoes_html,faltam_questoes_md,faltam_no_html,status,pdfs,mds,htmls
Info 1162 STF,STF,1,1,3,4,5,15,,,OK,Info 1162 STF.pdf,Info 1162 STF_questoes.md,Info 1162 STF.html | Info 1162 STF.html | Info 1162 STF.html
Info 1163 STF,STF,1,1,3,10,14,28,,,OK,Info 1163 STF.pdf,Info 1163 STF_questoes.md,Info 1163 STF.html | Info 1163 STF.html | Info 1163 STF.html
Info 1164 STF,STF,1,1,3,4,6,12,,,OK,Info 1164 STF.pdf,Info 1164 STF_questoes.md,Info 1164 STF.html | Info 1164 STF.html | Info 1164 STF.html
Info 1165 STF,STF,1,1,3,8,8,16,,,OK,Info 1165 STF.pdf,Info 1165 STF_questoes.md,Info 1165 STF.html | Info 1165 STF.html | Info 1165 STF.html
Info 1166 STF,STF,1,1,3,9,8,16,1,,QUESTOES_INCOMPLETAS,Info 1166 STF.pdf,Info 1166 STF_questoes.md,Info 1166 STF.html | Info 1166 STF.html | Info 1166 STF.html
Info 1167 STF,STF,1,1,3,7,8,16,,,OK,Info 1167 STF.pdf,Info 1167 STF_questoes.md,Info 1167 STF.html | Info 1167 STF.html | Info 1167 STF.html
Info 1168 STF,STF,1,1,3,2,2,4,,,OK,Info 1168 STF.pdf,Info 1168 STF_questoes.md,Info 1168 STF.html | Info 1168 STF.html | Info 1168 STF.html
Info 1169 STF,STF,1,1,3,6,6,12,,,OK,Info 1169 STF.pdf,Info 1169 STF_questoes.md,Info 1169 STF.html | Info 1169 STF.html | Info 1169 STF.html
Info 1170 STF,STF,1,1,3,4,4,8,,,OK,Info 1170 STF.pdf,Info 1170 STF_questoes.md,Info 1170 STF.html | Info 1170 STF.html | Info 1170 STF.html
Info 1171 STF,STF,1,1,3,9,9,18,,,OK,Info 1171 STF.pdf,Info 1171 STF_questoes.md,Info 1171 STF.html | Info 1171 STF.html | Info 1171 STF.html
Info 1172 STF,STF,1,1,2,7,7,14,,,OK,Info 1172 STF.pdf,Info 1172 STF_questoes.md,Info 1172 STF.html | Info 1172 STF.html
